input,expected
ᨠᩯ᩠ᨦᩌᩰᩡ,ᨠᩯ᩠ᨦ/ᩌᩰᩡ
ᨡᩕᨻ᩠ᩅᨦ,ᨡᩕ/ᨻ᩠ᩅ/ᨦ
ᨡᩰᩬᩡᨡ᩵ᩣ᩠ᨿ,ᨡᩰᩬᩡ/ᨡ᩵ᩣ᩠ᨿ
ᨡᩰ᩠ᨷ,ᨡᩰ᩠ᨷ
ᨡᩱ᩵ᨶᩮᩢᩣ᩶,ᨡᩱ᩵/ᨶᩮᩢᩣ᩶
ᨣᩕᩪ,ᨣᩕᩪ
ᨣᩬ᩶ᨦᩉ᩠ᨶᩯ᩶ᨦ,ᨣᩬ᩶/ᨦ/ᩉ᩠ᨶᩯ᩶/ᨦ
ᨣᩤᩴᨼᩪ᩵ᨣᩮᩢ᩶ᩤ,ᨣᩤᩴ/ᨼᩪ᩵/ᨣᩮᩢ᩶ᩤ
ᨣᩤᩴᩈᨷᩫ᩠ᨳ,ᨣᩤᩴ/ᩈ/ᨷᩫ᩠ᨳ
ᨣ᩠ᩃᩬᨦᨪᩣ᩠ᨿ,ᨣ᩠ᩃᩬ/ᨦ/ᨪᩣ᩠ᨿ
ᨧᩪᩁᨸᩣ᩠ᨠ,ᨧᩪ/ᩁ/ᨸᩣ᩠ᨠ
ᨧᩰᨴ᩠ᨠ᩺ᨠᩢ᩠ᨶ,ᨧᩰ/ᨴ᩠ᨠ᩺/ᨠᩢ᩠ᨶ
ᨩᩨ᩠᩵ᨶᨩᩫ᩠ᨾ,ᨩᩨ᩠᩵ᨶ/ᨩᩫ᩠ᨾ
ᨩᩩᨩᩣᩴ᩶,ᨩᩩ/ᨩᩣᩴ᩶
ᨩ᩠ᨿᨦᨣᩕᩤ᩠ᨶ,ᨩ᩠ᨿ/ᨦ/ᨣᩕᩤ᩠ᨶ
ᨪᩬ᩶ᨾ,ᨪᩬ᩶/ᨾ
ᨪᩦᨺᩰ,ᨪᩦ/ᨺᩰ
ᨪᩩᨾ,ᨪᩩ/ᨾ
ᨲᩬ᩶ᨦᨲᩣ,ᨲᩬ᩶/ᨦ/ᨲᩣ
ᨲᩮ᩠ᨦ,ᨲᩮ᩠ᨦ
ᨳᩬᨦᩉ᩠ᩃ᩠ᩅᨦ,ᨳᩬ/ᨦ/ᩉ᩠ᩃ᩠ᩅ/ᨦ
ᨳ᩠ᩅᩫ᩵,ᨳ᩠ᩅᩫ᩵
ᨳ᩠ᩅ᩠᩶ᨿᨷ᩶ᩤ᩠ᨦ,ᨳ᩠ᩅ᩠᩶ᨿ/ᨷ᩶ᩤ᩠ᨦ
ᨴᩬᨦᩉ᩠ᩃᩮᩬᩥᨦ,ᨴᩬ/ᨦ/ᩉ᩠ᩃᩮᩬᩥ/ᨦ
ᨴᩩᨧᩮᩢ᩶ᩣᩉ᩠ᩅᩫᩅᩢ᩠ᨯ,ᨴᩩ/ᨧᩮᩢ᩶ᩣ/ᩉ᩠ᩅᩫ/ᩅᩢ᩠ᨯ
ᨵᩥᩁᩣ᩠ᨩ,ᨵᩥ/ᩁᩣ᩠ᨩ
ᨶᩅᨠ,ᨶ/ᩅ/ᨠ
ᨶᩫ᩠ᨦ,ᨶᩫ᩠ᨦ
ᨶᩬᩢᨠᨶᩯᩢ᩠ᨠ,ᨶᩬᩢ/ᨠ/ᨶᩯᩢ᩠ᨠ
ᨶᩬ᩠ᨿ,ᨶᩬ᩠ᨿ
ᨶᩣᩃᩦ,ᨶᩣ/ᩃᩦ
ᨶᩣᩴ᩶ᩋᩬ᩠᩶ᨿ,ᨶᩣᩴ᩶/ᩋᩬ᩠᩶ᨿ
