input,expected
ᨠᨷ᩠ᨷᨶᩣ,kbbna
ᨠᩣᩴ᩵,kam
ᨠᩩ᩵ᨾ,kum
ᨠᩩ᩶ᨾᨲ᩠ᩅᩫ,kumtua
ᨠᩮᩬᩥᩋ,koeʔ
ᨠᩯ᩠᩶ᩅᨾᩉᩣᩅᩢ᩠ᨶ,kaewmhawan
ᨠ᩠ᩃᩬ᩶ᨦᨨᩦ᩠ᨯ,kloangshid
ᨠ᩠ᩃ᩠ᩅ᩠᩶ᨿᨶ᩠ᩅᩃ,kluaynual
ᨡᩃᩯᨡᨩᩯ,klaekcae
ᨡᩫ᩠᩵ᨾᨴᩬ᩶ᨦ,komtoang
ᨡᩦ᩶ᨩᩡ,kica
ᨡᩦ᩶ᩁᩯ᩵,kirae
ᨡᩮᩬᩥᩋᨧᩯ᩶ᨯᩥ᩠ᨶ,koeʔcaedin
ᨡᩮᩢ᩶ᩣᨻᩕᨧᩮᩢ᩶ᩣ,kaoprcao
ᨡᩮ᩠ᨿᩡᨴ᩠ᨿᩁ,kyatyar
ᨡᩯ᩠ᨶᩈᩬᩢᨠ,kaensoak
ᨡ᩠ᨿᩅᨧᩩ᩵ᨾᨹᩩ᩵ᨾ,kyawcumpum
ᨡ᩠ᨿ᩶ᩅᨿᩦ᩵,kyawyi
ᨡ᩠ᩃ᩻ᩣᩴᨻᩬᨦ,klampoang
ᨢᩣ᩠ᨷᩀᩣ᩠ᨷ,kabyab
ᨣ᩶ᩤ,ka
ᨣ᩵ᩤᨩ᩶ᩣ᩠ᨦ,kacang
ᨣ᩵ᩤᨾᩨ,kamue
ᨣᩤᩴᩁᩪ᩶,kamru
ᨣ᩶ᩤ᩠ᨦᨵᩢᨾ᩠ᨾ᩺,kangtamm
ᨣ᩠ᩃᩤ᩠ᨶ,klan
ᨣ᩠ᩃᩦ᩵,kli
ᨧᨶ᩠ᨴᨶ᩺ᨡᩣ᩠ᩅ,cntnkaw
ᨧᩁᨯᩮᩥ᩠ᨶ,crdoen
ᨧᩃᩰᩡᩋᩰᩡ,cloʔo
ᨧᩢ᩠ᨠᨡᩣ᩠ᨷ,cakkab
ᨧᩢ᩠ᨯ,cad
ᨧᩢ᩠ᨶ,can
ᨧᩤᩴ,cam
ᨧ᩶ᩣ᩠ᩅ,caw
ᨧᩦ,ci
ᨧᩩᨯᨹᩩᨯ,cudpud
ᨧᩩᩁ,cur
ᨧᩮᩢ᩶ᩣᨷᩕ᩠ᨿᩣ,caobrya
ᨧᩱᨤᩥ᩠᩵ᨶᨧᩱᨤᩬᩴ,caikincaikoa
ᨨᩢᨲ᩠ᨲ᩺,shatt
ᨩᩢ᩠ᨿ,cay
ᨩᩣᨯᩫ᩠ᨠ,cadok
ᨩ᩶ᩣ᩠ᨦᨡᩧ᩠ᨯ,cangkued
ᨩ᩶ᩣ᩠ᨦᨻᩪ᩶,cangpu
ᨩᩨ᩵,cue
ᨩᩨ᩠᩵ᨶᨿ᩶ᩣ᩠ᩅ,cuenyaw
ᨩᩮᩬᩥᨠᩉ᩠ᩃᩮᩢᨠ,coeklek
ᨩᩮᩥ᩠ᨦ,coeng
ᨩ᩠ᨿᩢᨠ,cyak
ᨪᩬᨾ,soam
ᨪᩩ᩠ᨿᨪᩣ᩠ᨿ,suysay
ᨪᩮᩬᩥ᩵ᩃᩮᩬᩥ᩵,soeloe
ᨯᩬ᩠᩶ᨿ,doay
ᨯᩣ᩠ᨠ,dak
ᨯᩩᨷᨯᩥ᩠ᨷ,dubdib
ᨯᩮᩥᩢ᩠ᨠᩋᩬᩁᨪᩬᩁ,doekʔoarsoar
ᨯᩱ᩶ᨷᩴ᩵ᨩᩣ,daiboaca
ᨲᨠᩬ᩵ᩁ,tkoar
ᨲᨣᩰ᩠᩶ᨦᨲᨣ᩶ᩤ᩠ᨦ,tkongtkang
ᨲᩫ᩠ᨠᨦ᩠ᩅᨦ,toknguang
ᨲᩫ᩠ᨠᨲᩯ᩠᩵ᨦ,toktaeng
ᨲᩫ᩠ᨠᨴᩩᨠ᩠ᨡ᩺ᨯᩱ᩶ᨿᩣ᩠ᨠ,toktukkdaiyak
ᨲᩫ᩠ᨠᩈᩮᩥᩢ᩠ᨠ,toksoek
ᨲᩫ᩠᩶ᨾᨡ᩵ᩣ,tomka
ᨲᩕᨠᩪᩃ᩺,trkul
ᨲᩕᩱᨲᩕᩥ᩠ᨦ,traitring
ᨲᩡ,ta
ᨲᩬᨠᩈᩣ᩠ᨶ,toaksan
ᨲᩢ᩠᩶ᨦᨠ᩠ᩅ᩵ᩣ᩠ᨦ,tangkuaang
ᨲᩣᨼᩣ᩠ᨦ,tafang
ᨲᩪ᩶,tu
ᨲᩯ᩠ᨦᨿᩣ᩠ᨦ,taengyang
ᨳᩬ᩵ᨾᨴ᩠ᩅ᩠ᨿ,toamtuay
ᨳᩨᨴᩨ,tuetue
ᨳᩱ᩵ᨳᩬ᩶ᨦ,taitoang
ᨳ᩠ᩅ᩠᩶ᨿᩈᩣ᩠ᨿ,tuaysay
ᨴᩫ᩠ᨠ,tok
ᨴᩬᩴᨲᩣᨺᩢ᩠᩵ᨦ,toatafang
ᨴᩬᨾ,toam
ᨴᩥᩅᩈ,tiws
ᨴᩩ᩵ᩁᨩ᩶ᩣ,turca
ᨴᩯ᩶ᩅ᩵ᩤ,taewa
ᨴ᩠ᨿᩁᨿᩬ᩵ᨾ,tyaryoam
ᨵᩤ᩠ᨲᩪ,tatu
ᨶᩉᩩᨲ,nhut
ᨶᩬᨠ,noak
ᨶᩣᩴ᩶ᨴᩮᩥ᩠᩶ᨿ,namtoey
ᨶᩣ᩠᩵ᨦ,nang
ᨶ᩠ᩅᩁ,nuar
ᨷᩴ᩵ᨯᩢ᩠ᨠ,boadak
ᨷᩴ᩵ᨾᩦ,boami
ᨷᨿᩮᩣᨩ᩠ᨶ,byocn
ᨷ᩵ᩤᨤ᩠ᩅᩯ᩶ᨦᨣᩪᩃ᩠ᩅᩣ,bakuangkulua
